SibeliusInstrumentName,InstrumentTypeIdentifier,HumdrumInstrumentCode,Notes
"Resonator Guitar, E13 Hawaiian tuning [tab]",instrument.fretted.guitar.resonator.e13-hawaiian.tab,*Iguitr,Is this ok?
"Resonator Guitar, E13 Western tuning [tab]",instrument.fretted.guitar.resonator.e13-western.tab,*Iguitr,Is this ok?
"Resonator Guitar, open A tuning [tab]",instrument.fretted.guitar.resonator.open.A.tab,*Iguitr,Is this ok?
"Resonator Guitar, open G tuning [tab]",instrument.fretted.guitar.resonator.open.G.tab,*Iguitr,Is this ok?
Dulcimer,instrument.fretted.dulcimer,*Idulc,
Dulcimer [notation],instrument.fretted.dulcimer.5lines,*Idulc,
Dulcimer (DAA tuning) [tab],instrument.fretted.dulcimer.daa.tab,*Idulc,
Dulcimer (DAD tuning) [tab],instrument.fretted.dulcimer.dad.tab,*Idulc,
Gamba [notation],instrument.fretted.gamba.5lines,,
Gamba [tab],instrument.fretted.gamba.tab,,
12-string Acoustic Guitar [notation],instrument.fretted.guitar.12-string.5lines,*Iguitr,
"12-string Acoustic Guitar, DADGAD tuning [tab]",instrument.fretted.guitar.12-string.dadgad.tab,*Iguitr,
"12-string Acoustic Guitar, double D tuning [tab]",instrument.fretted.guitar.12-string.double-d.tab,*Iguitr,
"12-string Acoustic Guitar, dropped D tuning [tab]",instrument.fretted.guitar.12-string.dropped-d.tab,*Iguitr,
"12-string Acoustic Guitar, open D tuning [tab]",instrument.fretted.guitar.12-string.open-d.tab,*Iguitr,
"12-string Acoustic Guitar, open E tuning [tab]",instrument.fretted.guitar.12-string.open-e.tab,*Iguitr,
"12-string Acoustic Guitar, open G tuning [tab]",instrument.fretted.guitar.12-string.open-g.tab,*Iguitr,
"12-string Acoustic Guitar, standard tuning (no rhythms) [tab]",instrument.fretted.guitar.12-string.tab,*Iguitr,
"12-string Acoustic Guitar, standard tuning [tab]",instrument.fretted.guitar.12-string.tab.rhythms,*Iguitr,
Acoustic Guitar [notation],instrument.fretted.guitar.acoustic.5lines,*Iguitr,
"Acoustic Guitar, DADGAD tuning [tab]",instrument.fretted.guitar.acoustic.dadgad.tab,*Iguitr,
"Acoustic Guitar, double D tuning [tab]",instrument.fretted.guitar.acoustic.double-d.tab,*Iguitr,
"Acoustic Guitar, dropped D tuning [tab]",instrument.fretted.guitar.acoustic.dropped-d.tab,*Iguitr,
"Acoustic Guitar, modal D tuning [tab]",instrument.fretted.guitar.acoustic.modal-d.tab,*Iguitr,
"Acoustic Guitar, Nashville tuning [tab]",instrument.fretted.guitar.acoustic.nashville.tab,*Iguitr,
"Acoustic Guitar, open A tuning [tab]",instrument.fretted.guitar.acoustic.open-a.tab,*Iguitr,
"Acoustic Guitar, open C tuning [tab]",instrument.fretted.guitar.acoustic.open-c.tab,*Iguitr,
"Acoustic Guitar, open D tuning [tab]",instrument.fretted.guitar.acoustic.open-d.tab,*Iguitr,
"Acoustic Guitar, open Dm cross-note tuning [tab]",instrument.fretted.guitar.acoustic.open-dm.tab,*Iguitr,
"Acoustic Guitar, open E tuning [tab]",instrument.fretted.guitar.acoustic.open-e.tab,*Iguitr,
"Acoustic Guitar, open G tuning [tab]",instrument.fretted.guitar.acoustic.open-g.tab,*Iguitr,
"Acoustic Guitar, standard tuning (no rhythms) [tab]",instrument.fretted.guitar.acoustic.tab,*Iguitr,
"Acoustic Guitar, standard tuning [tab]",instrument.fretted.guitar.acoustic.tab.rhythms,*Iguitr,
4-string Bass Guitar [notation],instrument.fretted.guitar.bass.4-string.5lines,*Ibguit,Technically *Ibguit is for electric bass guitar… Is this Ok?
4-string Bass Guitar [tab],instrument.fretted.guitar.bass.4-string.tab,*Ibguit,Technically *Ibguit is for electric bass guitar… Is this Ok?
5-string Bass Guitar [notation],instrument.fretted.guitar.bass.5-string.5lines,*Ibguit,Technically *Ibguit is for electric bass guitar… Is this Ok?
5-string Bass Guitar [tab],instrument.fretted.guitar.bass.5-string.tab,*Ibguit,Technically *Ibguit is for electric bass guitar… Is this Ok?
Bass Guitar [notation],instrument.fretted.guitar.bass.5lines,*Ibguit,Technically *Ibguit is for electric bass guitar… Is this Ok?
6-string Bass Guitar [notation],instrument.fretted.guitar.bass.6-string.5lines,*Ibguit,Technically *Ibguit is for electric bass guitar… Is this Ok?
6-string Bass Guitar [tab],instrument.fretted.guitar.bass.6-string.tab,*Ibguit,Technically *Ibguit is for electric bass guitar… Is this Ok?
Acoustic Bass [notation],instrument.fretted.guitar.bass.acoustic.5lines,,
Acoustic Bass [tab],instrument.fretted.guitar.bass.acoustic.tab,,
5-string Electric Bass [notation],instrument.fretted.guitar.bass.electric.5-string.5lines,*Ibguit,
5-string Electric Bass [tab],instrument.fretted.guitar.bass.electric.5-string.tab,*Ibguit,
Electric Bass [notation],instrument.fretted.guitar.bass.electric.5lines,*Ibguit,
6-string Electric Bass [notation],instrument.fretted.guitar.bass.electric.6-string.5lines,*Ibguit,
6-string Electric Bass [tab],instrument.fretted.guitar.bass.electric.6-string.tab,*Ibguit,
5-string Fretless Electric Bass,instrument.fretted.guitar.bass.electric.fretless.5-string.5lines,*Ibguit,
5-string Fretless Electric Bass [tab],instrument.fretted.guitar.bass.electric.fretless.5-string.tab,*Ibguit,
Fretless Electric Bass [notation],instrument.fretted.guitar.bass.electric.fretless.5lines,*Ibguit,
6-string Fretless Electric Bass,instrument.fretted.guitar.bass.electric.fretless.6-string.5lines,*Ibguit,
6-string Fretless Electric Bass [tab],instrument.fretted.guitar.bass.electric.fretless.6-string.tab,*Ibguit,
Fretless Electric Bass [tab],instrument.fretted.guitar.bass.electric.fretless.tab,*Ibguit,
Electric Bass [tab],instrument.fretted.guitar.bass.electric.tab,*Ibguit,
5-string Fretless Bass Guitar [notation],instrument.fretted.guitar.bass.fretless.5-string.5lines,*Ibguit,
5-string Fretless Bass Guitar [tab],instrument.fretted.guitar.bass.fretless.5-string.tab,*Ibguit,
Fretless Bass Guitar [notation],instrument.fretted.guitar.bass.fretless.5lines,*Ibguit,
6-string Fretless Bass Guitar [notation],instrument.fretted.guitar.bass.fretless.6-string.5lines,*Ibguit,
6-string Fretless Bass Guitar [tab],instrument.fretted.guitar.bass.fretless.6-string.tab,*Ibguit,
Fretless Bass Guitar [tab],instrument.fretted.guitar.bass.fretless.tab,*Ibguit,
Semi-Acoustic Bass [notation],instrument.fretted.guitar.bass.semi-acoustic.5lines,*Ibguit,
Semi-Acoustic Bass [tab],instrument.fretted.guitar.bass.semi-acoustic.tab,*Ibguit,
Bass Guitar [tab],instrument.fretted.guitar.bass.tab,*Ibguit,
"Bass Guitar [tab, with rhythms]",instrument.fretted.guitar.bass.tab.rhythms,*Ibguit,
Classical Guitar [notation],instrument.fretted.guitar.classical.5lines,*Iguitr,
"Classical Guitar, DADGAD tuning [tab]",instrument.fretted.guitar.classical.dadgad.tab,*Iguitr,
"Classical Guitar, double D tuning [tab]",instrument.fretted.guitar.classical.double-d.tab,*Iguitr,
"Classical Guitar, dropped D tuning [tab]",instrument.fretted.guitar.classical.dropped-d.tab,*Iguitr,
"Classical Guitar, open D tuning [tab]",instrument.fretted.guitar.classical.open-d.tab,*Iguitr,
"Classical Guitar, open E tuning [tab]",instrument.fretted.guitar.classical.open-e.tab,*Iguitr,
"Classical Guitar, open G tuning [tab]",instrument.fretted.guitar.classical.open-g.tab,*Iguitr,
"Classical Guitar, standard tuning (no rhythms) [tab]",instrument.fretted.guitar.classical.tab,*Iguitr,
"Classical Guitar, standard tuning [tab]",instrument.fretted.guitar.classical.tab.rhythms,*Iguitr,
Electric Guitar [notation],instrument.fretted.guitar.electric.5lines,*Ieguit,
"7-string Electric Guitar, low A tuning [tab]",instrument.fretted.guitar.electric.7-string.low-a.tab,*Ieguit,
"7-string Electric Guitar, low B tuning [tab]",instrument.fretted.guitar.electric.7-string.tab,*Ieguit,
"Electric Guitar, DADGAD tuning [tab]",instrument.fretted.guitar.electric.dadgad.tab,*Ieguit,
"Electric Guitar, double D tuning [tab]",instrument.fretted.guitar.electric.double-d.tab,*Ieguit,
"Electric Guitar, dropped D tuning [tab]",instrument.fretted.guitar.electric.dropped-d.tab,*Ieguit,
"Electric Guitar, open D tuning [tab]",instrument.fretted.guitar.electric.open-d.tab,*Ieguit,
"Electric Guitar, open E tuning [tab]",instrument.fretted.guitar.electric.open-e.tab,*Ieguit,
"Electric Guitar, open G tuning [tab]",instrument.fretted.guitar.electric.open-g.tab,*Ieguit,
"Electric Guitar, standard tuning (no rhythms) [tab]",instrument.fretted.guitar.electric.tab,*Ieguit,
"Electric Guitar, standard tuning [tab]",instrument.fretted.guitar.electric.tab.rhythms,*Ieguit,
Kora,instrument.fretted.guitar.kora,,
Semi-acoustic Guitar [notation],instrument.fretted.guitar.semi-acoustic.5lines,*Iguitr,
"Semi-acoustic Guitar, DADGAD tuning [tab]",instrument.fretted.guitar.semi-acoustic.dadgad.tab,*Iguitr,
"Semi-acoustic Guitar, double D tuning [tab]",instrument.fretted.guitar.semi-acoustic.double-d.tab,*Iguitr,
"Semi-acoustic Guitar, dropped D tuning [tab]",instrument.fretted.guitar.semi-acoustic.dropped-d.tab,*Iguitr,
"Semi-acoustic Guitar, open D tuning [tab]",instrument.fretted.guitar.semi-acoustic.open-d.tab,*Iguitr,
"Semi-acoustic Guitar, open E tuning [tab]",instrument.fretted.guitar.semi-acoustic.open-e.tab,*Iguitr,
"Semi-acoustic Guitar, open G tuning [tab]",instrument.fretted.guitar.semi-acoustic.open-g.tab,*Iguitr,
"Semi-acoustic Guitar, standard tuning (no rhythms) [tab]",instrument.fretted.guitar.semi-acoustic.tab,*Iguitr,
"Semi-acoustic Guitar, standard tuning [tab]",instrument.fretted.guitar.semi-acoustic.tab.rhythms,*Iguitr,
10-string Hawaiian Steel Guitar [tab],instrument.fretted.guitar.steel.hawaiian.10-string.tab,*Iguitr,
Hawaiian Steel Guitar [notation],instrument.fretted.guitar.steel.hawaiian.5lines,*Iguitr,
"6-string Hawaiian Steel Guitar, standard tuning [tab]",instrument.fretted.guitar.steel.hawaiian.6-string.tab,*Iguitr,
"6-string Hawaiian Steel Guitar, alternate tuning [tab]",instrument.fretted.guitar.steel.hawaiian.6-string.tab.alternative,*Iguitr,
