SibeliusInstrumentName,InstrumentTypeIdentifier,HumdrumInstrumentCode,Notes
No instrument (barlines shown),instrument.other.none.barlines,,
No instrument (bar rests shown),instrument.other.none.barrests,,
No instrument (hidden),instrument.other.none.hidden,,
Solo,instrument.other.solo.real,,
Unnamed (treble staff),instrument.other.trebleclef,,
Almglocken,instrument.pitchedpercussion.almglocken,,
Antique Cymbals,instrument.pitchedpercussion.antiquecymbals,,
Chimes,instrument.pitchedpercussion.bells.chimes,*Ichime,
Chimes [no key],instrument.pitchedpercussion.bells.chimes.nokeysig,*Ichime,
Bell lyre [marching band],instrument.pitchedpercussion.bells.marching,,
Orchestral Bells,instrument.pitchedpercussion.bells.orchestral,*Icampn,
Tubular Bells,instrument.pitchedpercussion.bells.tubular,*Icampn,
Cimbalom,instrument.pitchedpercussion.cimbalom,*Idulc,
Crotales,instrument.pitchedpercussion.crotales,,
Steel Drums,instrument.pitchedpercussion.drums.steel,*Isteel,
"Steel Drums [bass clef, treble transp.]",instrument.pitchedpercussion.drums.steel.bassclef,*Isteel,
Gamelan Kengong,instrument.pitchedpercussion.gamelan.kengong,,
Gamelan Slentam,instrument.pitchedpercussion.gamelan.slentam,,
Glockenspiel,instrument.pitchedpercussion.glockenspiel,*Iglock,
Alto Glockenspiel,instrument.pitchedpercussion.glockenspiel.alto,*Iglock,
Soprano Glockenspiel,instrument.pitchedpercussion.glockenspiel.soprano,*Iglock,
Handbells,instrument.pitchedpercussion.handbells,,
Harp,instrument.pitchedpercussion.harp,*Iarpa,
Lever Harp,instrument.pitchedpercussion.harp.lever,*Iarpa,
Kalimba,instrument.pitchedpercussion.kalimba,,
Marimba [grand staff],instrument.pitchedpercussion.marimba,,
Marimba [treble staff],instrument.pitchedpercussion.marimba.trebleclef,,
Alto Metallophone,instrument.pitchedpercussion.metallophone.alto,,
Bass Metallophone,instrument.pitchedpercussion.metallophone.bass,,
Soprano Metallophone,instrument.pitchedpercussion.metallophone.soprano,,
Roto-toms,instrument.pitchedpercussion.roto-toms,,
Temple Blocks,instrument.pitchedpercussion.templeblocks,,
Timpani [with key],instrument.pitchedpercussion.timpani,*Itimpa,
Timpani [no key],instrument.pitchedpercussion.timpani.nokeysig,*Itimpa,
Vibraphone,instrument.pitchedpercussion.vibraphone,*Ivibra,
Wood Blocks [5 lines],instrument.pitchedpercussion.woodblocks,,
Xylophone,instrument.pitchedpercussion.xylophone,*Ixylo,
Alto Xylophone,instrument.pitchedpercussion.xylophone.alto,*Ixylo,
Bass Xylophone,instrument.pitchedpercussion.xylophone.bass,*Ixylo,
Contra Bass Bar,instrument.pitchedpercussion.xylophone.contrabass.bar,,
Gyil,instrument.pitchedpercussion.xylophone.gyil,,
Soprano Xylophone,instrument.pitchedpercussion.xylophone.soprano,*Ixylo,
Xylorimba,instrument.pitchedpercussion.xylorimba,,
Alto,instrument.singers.alto,*Ialto,
Solo Alto,instrument.singers.alto.solo,*Ialto,
Altus,instrument.singers.altus,,
Baritone,instrument.singers.baritone,*Ibarit,
Solo Baritone,instrument.singers.baritone.solo,*Ibarit,
Bass,instrument.singers.bass,*Ibass,
Solo Bass,instrument.singers.bass.solo,*Ibass,
Bassus,instrument.singers.bassus,,
Cantus,instrument.singers.cantus,,
Choir,instrument.singers.choir,,
Contralto,instrument.singers.contralto,*Icalto,
Countertenor,instrument.singers.counter-tenor,*Ictenor,
Mean,instrument.singers.mean,,
Mezzo-soprano,instrument.singers.mezzo-soprano,*Imezzo,
Quintus,instrument.singers.quintus,,
Secundus,instrument.singers.secundus,,
Soprano,instrument.singers.soprano,*Isoprn,
Solo Soprano,instrument.singers.soprano.solo,*Isoprn,
Tenor,instrument.singers.tenor,*Itenor,
Solo Tenor,instrument.singers.tenor.solo,*Itenor,
Treble,instrument.singers.treble,,
Solo Treble,instrument.singers.treble.solo,,
Voice,instrument.singers.voice,,
Voice [male],instrument.singers.voice.male,*Imale,
Contrabass,instrument.strings.contrabass,*Icbass,
Bass [Double],instrument.strings.contrabass.bass,*Icbass,
Double Bass,instrument.strings.contrabass.double-bass,*Icbass,
Solo Contrabass,instrument.strings.contrabass.solo,*Icbass,
String Bass,instrument.strings.contrabass.string,*Icbass,
Upright Bass,instrument.strings.contrabass.upright,*Icbass,
Hurdy-gurdy,instrument.strings.hurdy-gurdy,,
Sarangi,instrument.strings.sarangi,,
Strings,instrument.strings.section,,
Strings [reduction],instrument.strings.section.reduction,,
Bass Viol,instrument.strings.viol.bass,,
Tenor Viol,instrument.strings.viol.tenor,,
Treble Viol,instrument.strings.viol.treble,,
Viola,instrument.strings.viola,*Iviola,
Solo Viola,instrument.strings.viola.solo,*Iviola,
Violin 1,instrument.strings.violin.1,*Ivioln,
Violin 2,instrument.strings.violin.2,*Ivioln,
Violin I,instrument.strings.violin.I,*Ivioln,
Violin II,instrument.strings.violin.ii,*Ivioln,
Solo Violin,instrument.strings.violin.solo,*Ivioln,
Violoncello,instrument.strings.violoncello,*Icello,
Solo Violoncello,instrument.strings.violoncello.solo,*Icello,
Anvil,instrument.unpitched.anvil,,
Cha-cha bell [1 line],instrument.unpitched.bells.cha-cha,,
Mambo bell [1 line],instrument.unpitched.bells.mambo,,
Sleigh Bells,instrument.unpitched.bells.sleigh,,
Brake Drum [1 line],instrument.unpitched.brake-drum.1line,,
Cabasa [1 line],instrument.unpitched.cabasa,,
Cabasa [2 lines],instrument.unpitched.cabasa.2lines,,
Castanets,instrument.unpitched.castanets,,
"Shaker, Caxixi [1 line]",instrument.unpitched.caxixi.1line,,
Claves [1 line],instrument.unpitched.claves,,
"Shaker, Cocoa Bean Rattle [1 line]",instrument.unpitched.cocoa bean.1line,,
Finger Cymbals [1 line],instrument.unpitched.cymbals.finger.1line,,
Percussion [1 line],instrument.unpitched.drums.1line,,
Percussion [2 lines],instrument.unpitched.drums.2lines,,
Berimbau,instrument.unpitched.drums.2lines.berimbau,,
Percussion [3 lines],instrument.unpitched.drums.3lines,,
Percussion [4 lines],instrument.unpitched.drums.4lines,,
Percussion [5 lines],instrument.unpitched.drums.5lines,,
Agogos [2 lines],instrument.unpitched.drums.agogos,,
Bass Drum,instrument.unpitched.drums.bass,,*Ibdrum ?
Bass Drum [5 lines],instrument.unpitched.drums.bass.5lines,,*Ibdrum ?
Marching Bass Drum [3 lines],instrument.unpitched.drums.bass.marching.3lines,,
Marching Bass Drum [5 lines],instrument.unpitched.drums.bass.marching.5lines,,
Itótele [Batá Drum],instrument.unpitched.drums.bata.itotele,,
Iyá [Batá Drum],instrument.unpitched.drums.bata.iya,,
Okónkolo [Batá Drum],instrument.unpitched.drums.bata.okonkolo,,
Bongos [2 lines],instrument.unpitched.drums.bongos,,
Bongo Bell [High],instrument.unpitched.drums.bongos.bell.high,,
Bongo Bell [Low],instrument.unpitched.drums.bongos.bell.low,,
Box,instrument.unpitched.drums.box.3lines,,
Cajon [2 lines],instrument.unpitched.drums.cajon,,
Congas [2 lines],instrument.unpitched.drums.congas,,
Congas [1 line],instrument.unpitched.drums.congas.1line,,
Congas [3 lines],instrument.unpitched.drums.congas.3lines,,
Congas [4 lines],instrument.unpitched.drums.congas.4lines,,
Cuíca [3 lines],instrument.unpitched.drums.cuica.3lines,,
Cymbals,instrument.unpitched.drums.cymbal,*Ipiatt,
Marching Cymbals [5 lines],instrument.unpitched.drums.cymbals.marching.5lines,,
Djembe [3 lines],instrument.unpitched.drums.djembe.3lines,,
Drum Set (Rock),instrument.unpitched.drums.drumset,,
Drum Set (Alternative),instrument.unpitched.drums.drumset.alternative,,
Drum Set (Brushes),instrument.unpitched.drums.drumset.brushes,,
Drum Set (Dance),instrument.unpitched.drums.drumset.dance,,
Drum Set (Disco),instrument.unpitched.drums.drumset.disco,,
Drum Set (Electronica),instrument.unpitched.drums.drumset.electronic,,
Drum Set (Fusion),instrument.unpitched.drums.drumset.fusion,,
Drum Set (Garage),instrument.unpitched.drums.drumset.garage,,
Drum Set (Hip-hop),instrument.unpitched.drums.drumset.hip-hop,,
Drum Set (Industrial),instrument.unpitched.drums.drumset.industrial,,
Drum Set (Jazz),instrument.unpitched.drums.drumset.jazz,,
Drum Set (Lo-Fi),instrument.unpitched.drums.drumset.lo-fi,,
Drum Set (Metal),instrument.unpitched.drums.drumset.metal,,
Drum Set (Motown),instrument.unpitched.drums.drumset.motown,,
Drum Set (New Age),instrument.unpitched.drums.drumset.new age,,
Drum Set (Pop),instrument.unpitched.drums.drumset.pop,,
Drum Set (Reggae),instrument.unpitched.drums.drumset.reggae,,
Drum Set (Stadium Rock),instrument.unpitched.drums.drumset.rock.stadium,,
Drum Set (Rods),instrument.unpitched.drums.drumset.rods,,
Drum Set (Drum Machine),instrument.unpitched.drums.drumset.tr-808,,
Dumbek [3 lines],instrument.unpitched.drums.dumbek.3lines,,
Kidi [Ewe Drum],instrument.unpitched.drums.ewe.kidi,,
Sogo [Ewe Drum],instrument.unpitched.drums.ewe.sogo,,
Gankokwe (Bell),instrument.unpitched.drums.gankokwe,,
Jam Blocks [2 lines],instrument.unpitched.drums.jamblocks,,
Jawbone [1 line],instrument.unpitched.drums.jawbone.1line,,
Pandeiro [2 lines],instrument.unpitched.drums.pandeiro,,
Rain Stick (High) [1 line],instrument.unpitched.drums.rainstick.high.1line,,
Rain Stick (Low) [1 line],instrument.unpitched.drums.rainstick.low.1line,,
Egg Shaker (High) [1 line],instrument.unpitched.drums.shaker.high.1line,,
Egg Shaker (Low) [1 line],instrument.unpitched.drums.shaker.low.1line,,
Egg Shaker (Medium) [1 line],instrument.unpitched.drums.shaker.medium.1line,,
Side Drum,instrument.unpitched.drums.side,,
Snare Drum,instrument.unpitched.drums.snare,,
Marching Snare Drums [5 lines],instrument.unpitched.drums.snare.5lines,,
Surdo [2 lines],instrument.unpitched.drums.surdo,,
Tabla,instrument.unpitched.drums.table,*Itabla,
Taiko Drum,instrument.unpitched.drums.taiko,,
Tenor Drum,instrument.unpitched.drums.tenor,,
Marching Tenor Drums [5 lines],instrument.unpitched.drums.tenor.marching,,
Quads [5 lines],instrument.unpitched.drums.tenor.marching.quads,,
Tom-toms [5 lines],instrument.unpitched.drums.tom-toms,*Itom,
Tom-toms [4 lines],instrument.unpitched.drums.tom-toms.4lines,*Itom,
Udu,instrument.unpitched.drums.udu,,
"Shaker, Egg Shaker [1 line]",instrument.unpitched.egg shaker.1line,,
Finger Click [1 line],instrument.unpitched.fingerclick,,
Gamelan Gong Ageng (High) [1 line],instrument.unpitched.gamelan.gong-ageng.high,,
Gamelan Gong Ageng (Low) [1 line],instrument.unpitched.gamelan.gong-ageng.low,,
Gamelan Kempyang and Ketuk [2 lines],instrument.unpitched.gamelan.kempyang-ketuk,,
Gamelan Khendang Ageng [1 line],instrument.unpitched.gamelan.khendang-ageng,,
Gamelan Khendang Ciblon [1 line],instrument.unpitched.gamelan.khendang-ciblon,,
Large Gong [1 line],instrument.unpitched.gong.large.1line,*Igong,
Medium Gong [1 line],instrument.unpitched.gong.medium.1line,*Igong,
Gourd [1 line],instrument.unpitched.gourd,,
Guira [1 line],instrument.unpitched.guira,,
Guiro (High) [1 line],instrument.unpitched.guiro.high,,
Guiro (Medium) [1 line],instrument.unpitched.guiro.medium,,
Handclap [1 line],instrument.unpitched.handclap,,
"Shaker, Kayamba [1 line]",instrument.unpitched.kayamba.1line,,
Maracas,instrument.unpitched.maracas,,
"Shaker, Gourd Maracas [1 line]",instrument.unpitched.maracas.gourd.1line,,
Maracas [High],instrument.unpitched.maracas.high,,
Maracas [Medium],instrument.unpitched.maracas.medium,,
Mark tree [1 line],instrument.unpitched.marktree,,
"Shaker, Nsak Rattle [1 line]",instrument.unpitched.nsak.1line,,
Finger Snaps,instrument.unpitched.orff.fingersnaps,,
Hand Claps,instrument.unpitched.orff.handclaps,,
Patsch,instrument.unpitched.orff.patsch,,
Stamp,instrument.unpitched.orff.stamp,,
Salsa bell [1 line],instrument.unpitched.salsa.bell,,
Shaker [1 line],instrument.unpitched.shaker,,
"Shaker, Shekere [1 line]",instrument.unpitched.shekere.1line,,
Tam-tam,instrument.unpitched.tam-tam,,
Tambourine,instrument.unpitched.tambourine,*Itambn,
Timbales [2 lines],instrument.unpitched.timbales.2lines,,
Timbales [5 lines],instrument.unpitched.timbales.5lines,,
Triangle,instrument.unpitched.triangle,*Itrngl,
"Shaker, Wasembe Rattle (High) [1 line]",instrument.unpitched.wasembe.high.1line,,
"Shaker, Wasembe Rattle (Low) [1 line]",instrument.unpitched.wasembe.low.1line,,
"Shaker, Wasembe Rattle (Medium) [1 line]",instrument.unpitched.wasembe.medium.1line,,
Whip,instrument.unpitched.whip,,
Whistle,instrument.unpitched.whistle,,
Wind Chimes [1 line],instrument.unpitched.wind-chimes.1line,,
Wood Block [1 line],instrument.unpitched.woodblock.1line,,
Bagpipes,instrument.wind.bagpipe,,
Basset Horn,instrument.wind.basset-horn,,
Bassoon,instrument.wind.bassoon,*Ifagot,
Contrabassoon,instrument.wind.bassoon.contrabassoon,,
Quart Bassoon,instrument.wind.bassoon.quart,*Ifag_c,
Quint Bassoon,instrument.wind.bassoon.quint,,
Clarinet in A,instrument.wind.clarinet.a,*Iclars,
Clarinet in Ab,instrument.wind.clarinet.aflat,*Iclars,
Alto Clarinet in Eb,instrument.wind.clarinet.alto.eflat,*Iclara,
"Alto Clarinet in Eb [bass clef, treble transp.]",instrument.wind.clarinet.alto.eflat.bassclef,*Iclara,
Bass Clarinet in Bb,instrument.wind.clarinet.bass.bflat,*Iclarb,
Bass Clarinet in Bb [score sounds 8vb],instrument.wind.clarinet.bass.bflat.8vb-score,*Iclarb,
"Bass Clarinet in Bb [bass clef, treble transp.]",instrument.wind.clarinet.bass.bflat.bassclef,*Iclarb,
Clarinet in Bb,instrument.wind.clarinet.bflat,*Iclars,
Clarinet in C,instrument.wind.clarinet.c,*Iclars,
Contra Alto Clarinet in Eb,instrument.wind.clarinet.contra.alto.eflat,,
Contra Alto Clarinet in Eb [score sounds 8vb],instrument.wind.clarinet.contra.alto.eflat.8vb-score,,
"Contra Alto Clarinet in Eb [bass clef, treble transp.]",instrument.wind.clarinet.contra.alto.eflat.bassclef,,
Contrabass Clarinet in Bb,instrument.wind.clarinet.contrabass.bflat,,
Contrabass Clarinet in Bb [score sounds 15mb],instrument.wind.clarinet.contrabass.bflat.15mb-score,,
"Contrabass Clarinet in Bb [bass clef, treble transp.]",instrument.wind.clarinet.contrabass.bflat.bassclef,,
Clarinet in D,instrument.wind.clarinet.d,*Iclars,
Clarinet in Eb,instrument.wind.clarinet.eflat,*Iclars,
Clarinet in G,instrument.wind.clarinet.g,*Iclars,
Cor Anglais,instrument.wind.coranglais,*Icangl,
Didgeridoo,instrument.wind.didgeridoo,,
Duduk,instrument.wind.duduk,,
English Horn,instrument.wind.englishhorn,*Icangl,
Flageolet,instrument.wind.flageolet,,
Flute,instrument.wind.flute,*Iflt,
Alto Flute,instrument.wind.flute.alto,*Iflt_a,
Bansuri,instrument.wind.flute.bansuri,*Ibansu,
Bass Flute,instrument.wind.flute.bass,*Iflt_b,
Eb Flute,instrument.wind.flute.eflat,*Iflt,
G Flute,instrument.wind.flute.g,*Iflt,
Harmonica,instrument.wind.harmonica,*Iarmon,
Heckelphone,instrument.wind.heckelphone,,
Mey,instrument.wind.mey,,
Nai,instrument.wind.nai,,
Oboe,instrument.wind.oboe,*Ioboe,
Baritone Oboe,instrument.wind.oboe.baritone,*Ioboe,
Bass Oboe,instrument.wind.oboe.bass,*Ioboe,
Oboe d'Amore,instrument.wind.oboe.damore,*IoboeD,
Ocarina,instrument.wind.ocarina,*Iocari,
Panpipes,instrument.wind.panpipes,,
Piccolo,instrument.wind.piccolo,*Ipicco,
Military Piccolo in Db,instrument.wind.piccolo.dflat,*Ipicco,
Alto Recorder,instrument.wind.recorder.alto,*Ifltda,
Bass Recorder,instrument.wind.recorder.bass,*Ifltdb,
Great Bass Recorder,instrument.wind.recorder.bass.great,,
Contrabass Recorder,instrument.wind.recorder.contrabass,,
Descant Recorder,instrument.wind.recorder.descant,,
Sopranino Recorder,instrument.wind.recorder.sopranino,*Ifltdn,
Soprano Recorder,instrument.wind.recorder.soprano,*Ifltds,
Tenor Recorder,instrument.wind.recorder.tenor,*Ifltdt,
Treble Recorder,instrument.wind.recorder.treble,,*Ifltds?
Alto Saxophone,instrument.wind.saxophone.alto,*Ifltda,
Baritone Saxophone,instrument.wind.saxophone.baritone,*IsaxR,
Baritone Saxophone [score sounds 8vb],instrument.wind.saxophone.baritone.8vb-score,*IsaxR,
"Baritone Saxophone [bass clef, treble transp.]",instrument.wind.saxophone.baritone.bassclef,*IsaxR,
Bass Saxophone,instrument.wind.saxophone.bass,*IsaxB,
Bass Saxophone [score sounds 15mb],instrument.wind.saxophone.bass.15mb-score,*IsaxB,
"Bass Saxophone [bass clef, treble transp.]",instrument.wind.saxophone.bass.bassclef,*IsaxB,
C Melody Saxophone,instrument.wind.saxophone.c-melody,,
Contrabass (Tubax) Saxophone,instrument.wind.saxophone.contrabass,*IsaxC,
Contrabass (Tubax) Saxophone [score sounds 15mb],instrument.wind.saxophone.contrabass.15mb-score,*IsaxC,
"Contrabass (Tubax) Sax [bass clef, treble transp.]",instrument.wind.saxophone.contrabass.bassclef,*IsaxC,
F Mezzo Soprano Saxophone,instrument.wind.saxophone.mezz-soprano.f,,
Sopranino Saxophone,instrument.wind.saxophone.sopranino,*IsaxN,
Piccolo Saxophone in Bb [Soprillo],instrument.wind.saxophone.sopranino.bflat,,
Soprano Saxophone,instrument.wind.saxophone.soprano,*IsaxS,
C Soprano Saxophone,instrument.wind.saxophone.soprano.c,,
Subcontrabass (Tubax) Saxophone,instrument.wind.saxophone.subcontrabass,,
Subcontrabass (Tubax) Saxophone [score sounds 15mb],instrument.wind.saxophone.subcontrabass.15mb-score,,
"Subcontrabass (Tubax) Sax [bass clef, treble transp.]",instrument.wind.saxophone.subcontrabass.bassclef,,
Tenor Saxophone,instrument.wind.saxophone.tenor,*IsaxT,
Tenor Saxophone [score sounds 8vb],instrument.wind.saxophone.tenor.8vb-score,*IsaxT,
"Tenor Saxophone [bass clef, treble transp.]",instrument.wind.saxophone.tenor.bassclef,*IsaxT,
Woodwind,instrument.wind.section,,
Shakuhachi,instrument.wind.shakuhachi,*Ishaku,
Tin Whistle,instrument.wind.whistle.tin,,
